연,월,일,시,분,지역,송출내용,target
2022,2,18,13,16,관악구,"[관악구청] 2/19(토)부터 신림체육센터 임시선별검사소 운영시간이 조정됨을 안내드립니다. ※자세한 내용은 홈페이지 참고(토요일:미운영, 일요일:13시~18시)",전염병
2022,2,21,14,16,강북구,"[강북구청]2.21(월)부터 시범공영주차장 임시선별검사소 운영시간이 조정됩니다.(평일:09시~18시,주말:09시~13시) ※ www.gangbuk.go.kr 참고",전염병
2022,2,26,18,1,노원구,[노원구청] 구청 정전으로 2.27(일) 당일에 한해 보건소 선별진료소와 구청 주차장 임시선별검사소 운영시간이 기존 9시~13시에서 14시~18시로 변경됩니다.,전염병
2022,3,4,13,6,성동구,[성동구청]오늘11:21경 성동구 성수동2가 269-57 공장 화재발생으로 교통정체 예상. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,교통
2022,3,4,17,4,노원구,"[노원구청] 서울시에서 운영해왔던 노원문화예술회관 선별검사소 운영이 3.4(금)부로 종료됩니다 노원구청, 구민의전당 선별검사소 토·일 9시~13시, 평일 정상운영",전염병
2022,3,4,18,41,강남구,[강남구청] 오늘 17:16경 개포동 구룡마을 및 인근 야산 화재 발생. 개포중학교 근처 대모산 입산객 및 인근 주민은 즉시 안전한 곳으로 대피하시기 바랍니다.,기타
2022,3,4,18,42,강남구,[강남구청] 구룡마을 인근 양재대로(개포동 146-1) 교통혼잡. 인근 차량은 우회해 주시기 바랍니다.,교통
2022,3,19,12,48,성동구,[성동구청] 오늘 11:25경 성동구 마장동 438(마장동먹자골목) 식당 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,기타
2022,4,4,20,36,성동구,"[성동구청]공0한(남),20세,172cm,90kg회색/검정 후드티, 검정색 바지, 회색운동화4/3(일)낮12시 실종,장애인주간보호센터02-2290-3141",기타
2022,4,8,11,0,중랑구,"[중랑구청] 4.11(월)부터 보건소 및 임시선별검사소의 신속항원검사와 자가진단키트 배부가 중단되오니 신속항원검사는 호흡기전담클리닉, 지정의료기관에 방문 바랍니다",전염병
2022,4,8,11,26,양천구,[양천구청] 2022.4.11(월)부터 임시선별검사소의 신속항원검사가 중단되고 PCR검사만 가능합니다.,전염병
2022,4,8,11,39,동작구,"[동작구청] 4.11.(월)부터 선별진료소(동작구보건소, 사당문화회관, 동작구청, 동작주차공원) 내 신속항원검사가 중단됨을 알려드립니다.",전염병
2022,4,8,16,14,영등포구,"[영등포구청] 4.11.(월)부터 선별진료소(영등포구보건소, 대림동·여의동 임시선별검사소)내 신속항원검사가 중단됨을 알려드립니다.(※ PCR검사는 현행유지)",전염병
2022,4,8,16,24,도봉구,"[도봉구청] 4.11.(월)부터 보건소와 임시선별검사소의 신속항원검사가 중단되오니, 신속항원검사는 호흡기전담클리닉 및 지정의료기관에서 받으시기 바랍니다.",전염병
2022,4,8,16,46,강북구,"[강북구청]4.11.(월)부터 보건소와 임시선별검사소의 신속항원검사가 중단되오니, 신속항원검사는 호흡기전담클리닉 및 지정의료기관에서 받으시기 바랍니다.",전염병
2022,4,8,17,6,관악구,[관악구청] 4.11.(월)부터 보건소 및 임시선별검사소 신속항원검사 운영 중단. 신속항원검사는 호흡기 전담 클리닉 및 지정 의료기관을 이용하시기 바랍니다.,전염병
2022,4,11,7,17,영등포구,[영등포구청] 오늘 06:33경 서울시 영등포구 굿모닝고시원(영등포동7가29-128) 화재로 다량의 연기 발생. 인근 주민들께서는 안전에 유의 바랍니다.,기타
2022,4,13,15,4,금천구,[금천구청] 오늘 14:30경 시흥대로64길 27 우림메르디앙 외장재 탈락 사고 발생. 인근 도로 전면 통제하오니 인근 지역 운행차량은 우회하여 주시기 바랍니다.,교통
2022,4,15,17,41,동대문구,"[동대문구청] 4.18.(월)부터 사적모임 인원, 영업시간 제한 등 사회적 거리두기가 전면 해제됩니다. 마스크 등 개인방역수칙을 지키며 일상을 회복하시기 바랍니다",전염병
2022,4,21,17,38,도봉구,"[도봉구청] 4.25.(월)부터 구민회관 임시선별검사소의 운영이 종료되오니, 보건소 선별진료소와 구청 및 창동역 임시선별검사소를 이용해 주시기 바랍니다.",전염병
2022,4,28,10,30,중랑구,"[중랑구청] 5.1(일)부터 '망우역 광장 임시선별검사소' 운영이 중단되오니, 코로나19 PCR검사는 중랑구 보건소, 면목역 임시선별검사소를 이용하시기 바랍니다.",전염병
2022,4,28,14,36,강남구,[강남구청] 역삼동 830-40 인근 크레인 전복사고로 역삼초교~역삼1동 주민센터 주변 교통통제를 실시합니다. 주변 차량은 우회해 주시기 바랍니다.,교통
2022,4,28,17,28,동작구,[동작구청] [동작구 임시선별검사소(2개소)운영 종료 안내]5월 1일(일)부터 구청과 사당문화회관 임시선별검사소 운영이 종료됩니다. 보건소 선별진료소는 계속 운영,전염병
2022,4,29,13,58,관악구,[관악구청] 5월 1일(일요일)부터 신림체육센터 임시선별검사소 운영이 종료됩니다. 보건소 선별진료소 및 낙성대 임시선별검사소는 정상 운영.,전염병
2022,4,29,15,53,동대문구,"[동대문구청] 5.1.(일)부터 장안근린공원 선별검사소 운영이 종료됩니다. PCR검사는 보건소, 청량리역, 서울시광역선별진료소를 이용해 주시기 바랍니다.",전염병
2022,5,2,9,34,강북구,"[강북구청] 5.2.(월)부터 강북구민운동장 임시선별검사소는 운영 중단합니다. 강북구보건소, 강북구청 임시선별검사소는 정상 운영합니다. (☎1577-0922)",전염병
2022,5,3,10,30,중랑구,"[중랑구청] 5.5.(목)부터 '면목역 광장 임시선별검사소' 주말 및 공휴일 운영이 중단되오니, 코로나19 PCR검사는 중랑구 보건소를 이용하시기 바랍니다.",전염병
2022,5,6,17,1,노원구,"[노원구청] 5.7.(토)부터 노원구민의전당 임시선별검사소 코로나19 PCR검사 주말 운영이 중단되오니, 보건소 선별검사소(9~13시)를 이용바랍니다.",전염병
2022,5,11,15,29,동작구,[동작구청] 보건소 선별진료소 운영시간 변경을 알려드립니다. ▲평일 9시~18시 ▲토·일·공휴일 9시~13시 운영 (※ 5월9일(월)부터 동작주차공원 운영종료),전염병
2022,5,21,18,13,영등포구,"[영등포구청] 오늘 17:42 서울시 영등포구 여의도고등학교(여의도동 30-1)에서 화재 발생. 이 지역을 우회, 인근 주민들께서는 안전사고 발생에 유의바랍니다.",기타
2022,5,26,17,40,동대문구,[동대문구청] 사회적 거리두기 해제에 따라 청량리역 선별검사소 운영이 종료되었습니다. PCR 검사는 동대문구 보건소 선별진료소를 이용해 주시기 바랍니다.,전염병
2022,5,30,10,8,강북구,[강북구청] 6.1.(수)부터 강북구청 옆 시범공영주차장 임시선별검사소는 운영 중단합니다. 강북보건소 선별진료소는 정상운영합니다. (☎1577-0922),전염병
2022,5,30,10,30,중랑구,"[중랑구청] 6.1.(수)부터 '면목역 광장 임시선별검사소' 운영이 종료되오니, 코로나19 PCR검사는 중랑구 보건소를 이용하시기 바랍니다.",전염병
2022,5,30,16,40,도봉구,"[도봉구청] 6.1.(수)부터 도봉구청 광장 임시선별검사소의 운영이 종료되오니, 보건소 선별진료소를 이용해 주시기 바랍니다.",전염병
2022,6,30,13,19,서초구,[서초구청] 금일 서울시 서초구 방배동 지역에 산사태주의보가 발령되었으니 산림주변 거주 지역 주민과 인근 방문객은 주의하여 주시기 바랍니다.,산사태
2022,6,30,15,22,도봉구,"[도봉구청]금일 도봉구 쌍문동, 창동 지역 산사태 주의보 발령. 산사태 취약지역 주민들께서는 안전에 각별히 유의해 주시기 바랍니다.",산사태
2022,6,30,18,22,노원구,"[노원구청] 금일 18시 기준 노원구 공릉, 상계, 중계, 하계동 지역 산사태 주의보 발령. 산사태 취약지역 주민들께서는 안전에 각별히 유의해 주시기 바랍니다.",산사태
2022,6,30,19,14,서초구,[서초구청] 한강수위 상승으로 금일 20시경 서초 반포나들목 및 신잠원나들목을 폐쇄할 예정이니 한강공원에 계신분들과 차량은 안전한 곳(한강 밖)으로 이동바랍니다.,교통
2022,6,30,20,9,강북구,"[강북구청] 금일 강북구 수유동, 번동, 미아동 지역 산사태주의보 발령. 산사태 취약지역 주민들께서는 안전에 각별히 유의해 주시기 바랍니다.",산사태
2022,6,30,20,27,성동구,[성동구청]금일 산사태주의보 발령 및 하천변 수위상승으로 주변 상황이 위험하니 출입 제한 및 안전사고에 각별히 유의하여 주시기 바랍니다. ☎02-2286-6150,산사태
2022,7,13,17,8,금천구,[금천구청] 지속적인 강우로 인해 안양천 수위가 상승하여 침수가 예상되오니 안양천 출입을 금지하여 주시기 바랍니다.,홍수
2022,7,18,14,31,양천구,"[양천구청] 코로나19 4차 접종 대상 확대 50세 이상 및 기저질환자, 3차 접종 후 4개월 경과 시 7월18일부터 예약가능 ncvr.kdca.go.kr",전염병
2022,7,22,15,54,도봉구,"[도봉구청]구청광장 임시선별검사소 운영▶7.22.(금)부터 PCR우선순위자 대상, 평일·일요일13~21시(소독17~18시,토·공휴일 휴무) c11.kr/11f0c",전염병
2022,7,23,15,1,광진구,"[광진구청] 광진구보건소 코로나19 선별진료소 운영 시간 안내 평일 09시~18시(미운영12~13시)/ 주말, 공휴일 09시~13시/ 문의전화 450-7090",전염병
2022,7,29,10,0,강북구,"[강북구청]7월29일(금)부터 구청옆 시범공영주자창 임시선별검사소 운영(연중무휴)▶13~21시(소독17~18시), PCR 우선순위자 대상만 가능☎1577-0922",전염병
2022,8,4,19,59,강북구,"[강북구청]구청옆 시범공영주자창 임시선별검사소 운영중(연중무휴)▶13~21시(소독17~18시),PCR 우선순위 대상자 한해 PCR검사만 가능(☎1577-0922)",전염병
2022,8,5,10,36,양천구,"[양천구청] 양천구목동공영주차장 임시선별검사소 개소, 매일 13:00부터 21:00까지 운영. 검사방법 PCR, 검사대상은 양천구청 홈페이지 참조바랍니다.",전염병
2022,8,6,15,4,광진구,"[광진구청]광진구보건소 코로나19 선별진료소 운영시간 안내 / 평일 09시~18시(미운영12~13시) / 주말,공휴일 09시~13시 / ☎ 450-7090",전염병
2022,8,8,19,13,마포구,"[마포구청] 금일 불광천, 홍제천, 향동천 수위 상승으로 안전사고 우려가 있어 산책로 전 구간 출입 통제중이오니 하천변 이용을 자제하여 주시기 바랍니다.",교통
2022,8,8,20,39,성동구,"[성동구청]오늘 20:30기준 현재 호우경보 발효 중, 중랑천 청계천 범람이 우려되어 하천변 출입을 전면 통제하오니 인근 주민께서는 신속 대피바랍니다.",교통
2022,8,8,21,21,관악구,[관악구청] 이 시각 현재 도림천이 범람하고 있으니 저지대 주민께서 신속히 안전한 곳으로 대피하여 주시기 바랍니다.이상 관악구 재난안전대책본부에서 알려드렸습니다.,홍수
2022,8,8,21,23,관악구,[관악구청] 2022.08.09.(21:00)부터 관악구에 산사태 경보가 발령 되었습니다. 산사태 발생 피해가 없도록 주의하시기 바랍니다.,산사태
2022,8,8,21,30,관악구,[관악구청] 현재 서울시 관악구에 산사태 경보가 발령 되었습니다. 산사태 발생 피해가 없도록 주의하시기 바랍니다.,산사태
2022,8,8,21,38,동작구,[동작구청] 현재 호우 지속으로 침수 위험이 있으니 주의하시기 바라며 특히 도림천 인근 거주 주민들께서는 범람 위험이 있으니 예의주시하시기 바랍니다.,홍수
2022,8,8,21,56,관악구,"[관악구청] 이 시각 현재 도림천 범람 우려가 있으니 주의하시기 바라며, 특히 도림천 인근 거주 주민들께서는 범람 위험이 있으니 예의주시하시기 바랍니다.",홍수
2022,8,8,23,2,관악구,"[관악구청] 청룡동 1580-3(관악그린빌라) 인근 산사태 위험이 있으니,  인근 주민들께서는 청룡동 주민센터 4층(쑥고개로 44)으로 대피해주시기 바랍니다.",산사태
2022,8,8,23,40,동작구,[동작구청] 도림천 인근 주민들께서는 하천이 범람되므로 동 주민센터로 대피하여 주시기 바랍니다.,홍수
2022,8,8,23,41,서초구,"[서초구청] 현재 양재천 범람, 도로침수 등 우려가 있으니 주의하시기 바라며, 특히 양재천 인근 거주 주민들께서는 범람 위험이 있으니 예의 주시하시기 바랍니다.",홍수
2022,8,9,0,21,동작구,[동작구청] 도림천 인근 신대방1동·신대방2동 주민들께서는 하천 범람에 따라 임시주거시설 동작구민체육센터(신대방동 460-1)로 대피하시기 바랍니다.,홍수
2022,8,9,0,23,강남구,"[강남구청] 대모산 및 양재천 인근지역, 저지대, 침수 우려지역 등 주변 주민들께서는 기상상황을 주시하시고, 안전에 유의하여 주시기 바랍니다.",호우
2022,8,9,0,31,동작구,[동작구청] 사당2동 (극동아파트 등) 이재민들은 동작중학교(동작구 동작동 59-1) 또는 사당종합체육관(동작구 사당로27길 232) 으로 대피하시기 바랍니다.,기타
2022,8,9,0,32,성동구,"[성동구청]이 시각부로 하천변 수위상승에 따른 금호,옥수,용답나들목을 폐쇄하오니 하천 이용 및 안전사고 예방에 적극 협조하여 주시기 바랍니다.",교통
2022,8,9,2,7,동작구,[동작구청] 신대방1동 침수피해 주민들께서는 임시주거시설 문창초등학교(신대방동 640)로 대피하시기 바랍니다.,침수
2022,8,9,7,30,송파구,"[송파구청] 한강 수위상승에 따른 풍납토성나들목, 잠실나루나들목, 잠실나들목, 잠실새내나들목을 폐쇄하오니 안전사고 예방에 적극 협조하여 주시기 바랍니다.",교통
2022,8,9,11,54,성동구,[성동구청] 하천변 수위상승과 많은 비 예보로 11시 기준 관내 모든 육갑문을 폐쇄하고 하천변 출입을 전면 통제하오니 안전사고에 각별히 유의하시기 바랍니다.,교통
2022,8,9,16,56,도봉구,"[도봉구청] 내일 새벽까지 많은 호우가 예보되어 있어 하천변 출입금지 및 저지대, 산자락 등 위험지역에 계신 구민들께서는 수해피해 및 안전에 유의하시기 바랍니다.",호우
2022,8,9,17,59,금천구,"[금천구청] 지속적인 강우로 인해 안양천 수위가 상승하여 침수가 예상되오니 안양천 출입을 금지하여 주시고, 안전사고에 유의하시기 바랍니다.",교통
2022,8,9,18,28,마포구,[마포구청] 현재 불광천 수위 상승으로 증산교 하부도로가 일부 침수되어 통제중이오니 이용을 자제하여 주시기 바랍니다.,교통
2022,8,9,18,47,강남구,"[강남구청] 내일 새벽까지 많은 호우가 예보되어 있어, 대모산 및 양재천 주변, 저지대, 침수 우려 지역 주민들께서는 안전사고에 유의하시기 바랍니다.",호우
2022,8,9,19,27,도봉구,"[도봉구청] 금일 도봉구 쌍문동,방학동,도봉동 지역 산사태 주의보 발령. 산림 인근 주민들께서는 안전에 유의하시기 바라며, 입산을 금지하여 주시기 바랍니다.",산사태
2022,8,9,19,28,강북구,"[강북구청]내일 새벽까지 많은 호우가 예보되어 있어 하천변 출입금지 및 저지대, 산자락 등 위험지역에 계신 구민들께서는 수해피해 및 안전에 유의하시기 바랍니다.",호우
2022,8,9,19,36,노원구,"[노원구청] 금일 노원구 상계동, 중계동 지역 산사태 경보 발령. 산사태 취약지역 및 산림 인근 주민들께서는 안전에 유의하시기 바랍니다.",산사태
2022,8,9,20,20,중랑구,[중랑구청]내일까지 집중호우 예상됩니다. 동부간선도로 및 하천변 통행을 차단합니다. 공사장 급경사 저지대 등 위험지역의 구민들께서는 안전에 유의하시기 바랍니다.,교통
2022,8,9,20,21,중랑구,[중랑구청]일기예보를 수시 확인하고 긴급 상황 발생시 중랑구 재난안전대책본부(02-2094-2740)로 연락바랍니다. 구민안전보호에 최선을 다하겠습니다.,기타
2022,8,9,20,27,종로구,"[종로구청] 금일 종로구 구기동, 신영동, 평창동, 홍지동 지역 산사태 주의보 발령. 산사태 취약지역 및 산림 인근 주민 분들께서는 안전에 유의하시기 바랍니다.",산사태
2022,8,9,20,44,관악구,"[관악구청] 내일 새벽까지 많은 호우가 예보되어 있어, 관악산 및 도림천 주변, 저지대, 침수 우려 지역 주민들께서는 안전사고에 유의하시기 바랍니다.",호우
2022,8,10,6,29,광진구,"[광진구청] 2022. 8. 10. 02:00 기준 팔당댐 방류(초당 14,000톤)에 따른 한강 수위 상승으로 한강변 공원 전면 통제(나들목 5개소 폐문)",교통
2022,8,10,6,35,강서구,[강서구청] 한강 수위 상승으로 개화나들목 교통통제 / 올림픽대로 진출입 불가 / 차량침수 주의,교통
2022,8,10,9,41,중랑구,"[중랑구청] 밤사이 집중호우로 인한 침수피해는 없었으며, 호우경보는 해제되었지만 비상근무체제를 유지하여 중랑구민의 안전을 위해 철저히 대비하겠습니다.",호우
2022,8,10,11,1,관악구,[관악구청] 오늘 산사태 경보(경계) 유지 중. 누적된 비로 지반이 약해져 산사태 발생위험이 높으니 위험지역 접근통행 금지. 안전사고에 유의 바랍니다.,산사태
2022,8,12,15,40,광진구,[광진구청] 2022. 8. 12.(금) 팔당댐 방류량 감소로 한강 수위가 낮아짐에 따라 광진구 한강변 공원 통행을 재개합니다.(나들목 5개소 개문),교통
2022,8,12,17,11,동대문구,"[동대문구청] 8.13(토)부터 강한 호우가 예상되오니 기상상황에 귀 기울여 주시고 하천변, 저지대, 위험지역 유의 등 안전에 주의 바랍니다.",호우
2022,8,12,17,40,강북구,"[강북구청] 8.13(토)부터 강한 호우가 예상되오니 기상상황에 귀 기울여 주시고 하천변, 저지대, 산자락 등 위험지역 인근 주민께서는 안전에 유의 바랍니다.",호우
2022,8,13,12,4,강북구,"[강북구청] 금일 집중호우가 예상되니, 하천변·산자락 등 재난취약지역 출입 자제, 지하주택 침수방지시설 적기 설치, 대중교통 이용 등 안전관리 유의 바랍니다.",호우
2022,8,13,12,37,동작구,"[동작구청]동작구 재대본에서 알립니다. 금일 강우가 예보되어 있으니 축대, 담장, 배수구 등을 점검하여 주시기 바랍니다.",호우
2022,8,13,13,10,관악구,"[관악구청] 금일 강한호우가 예상되오니 기상상황에 귀 기울여 주시고 하천변, 저지대, 산자락 등 위협지역 인근 주민께서는 안전에 유의 바랍니다.",호우
2022,8,13,13,21,구로구,"[구로구청] 금일 집중호우가 예상되오니 축대, 담장, 배수구 등 점검해주시고 하천변, 저지대, 산 인근 등 재난취약지역 주민들께서는 안전에 유의해주시기 바랍니다.",호우
2022,8,13,13,54,서초구,"[서초구청] 금번 폭우로 우면산, 청계산 등 일부 등산로가 유실되어 폐쇄 되었으며, 연휴기간 강한 강우가 다시 예상되오니 산림 연접지 접근을 삼가시기 바랍니다.",호우
