preprocessed_송출내용,label
실내 집단 감염 위험 주일 종교 활동 자제 하다 주시 실내 다중 이용 시설 마스크 착용 호흡기 증상 보건소 상담 바람,1
코로나 정보 공유 문자 수신 원하다 구민 콜센터 광진구 홈페이지 신청 바라다,2
실내 집단 감염 위험 주일 종교 활동 자제 요망 다중 시설 이용 시 마스크 필수 상세 내용 홈피 문자 서비스 신청,1
코로나 확 진자 보라매동 동선 공개 자세하다 사항 관악구 홈페이지 블로그 확인 증상 발생 시 상담 후 선 진료 소 방문 바라다,6
번 확 진자 발생 휘경동 세 남 번 확 진자 접촉 금일 입원 조치 활동 동선 사업 일시 폐쇄 후 소독 예정 홈페이지 참조,4
코로나 확 진자 발생 미성동 현재 역학 조사 진행중 자세하다 내용 추후 홈페이지 공지 예정 감염병 예방 칙 준수 바라다,5
번확 진자 발생 동대문 거주 성북구 주민 확 진자 장인 이문동 금일 입원 조치 활동 동선 사업 일시 폐쇄 후 소독 예정 홈페이지 참조,4
코로나 확 진자 명 추가 누적 명 상세 내용 홈피 참조 개별 문자 홈피 신청 하다,2
번 확 진자 발생 이문동 세 휘경동 남 번 확 진자 접촉 금일 입원 조치 사업 일시 폐쇄 후 소독 예정 홈페이지 참조,4
확 진자 발생 이문동 거주 성북구 주민 월일 확 진자 처자 생후 주 금일 입원 조치 예정자 산후 조리 외부 이동 동선 없다,4
타 지역 코로나 확진 자세 중 마포구 이동 동선 확인 되어다 드리다 자세하다 사항 마포 구청 공식 블로그 홈페이지 참고 바라다,4
관내 추가 확 진자 없다 노원구 확 진자 신도림 코리아 빌딩 근무 층 접촉 관련 동선 자세하다 정보 구로구 홈페이지 참고 바라다,4
금일 코로나 확 진자 명 신사동 구산동 추가 발생 방역 소독 완료 이동 동선 추후 홈페이지 공개 멈추다 거리 두기 동참 부탁 하다,4
코로나 확진 자세 여성 강일 리버 파크 추가 발생 격리 조치 자택 등방 역 확 진자 이동 동선 역학 사결 가나 오다 공개 예정 이다,4
코로나 확 진자 동선 공개 자세하다 내용 홈페이지 블로그 확인 정보 공유 문자 수신 원하다 구민 관악구 홈페이지 신청 바라다,2
관내 거주 명 추가 확 진자 발생 신도림동 코리아 빌딩 층 근무 상세 정보 추후 홈페이지 공개 하다 예정 멈추다 캠페인 동참 바라다,5
코로나 추가 확 진자 발생 대방동 거주 년생 자세하다 내용 동작구 홈페이지 확인 하다 시기 바라다,5
금천구 확 진자 가산동 여성 발생 의료 이송 긴급 방역 실시 상세 정보 추후 홈페이지 참조,5
구로구 확 진자 구로동 남성 금천 번 운수 종사 차량 방역 실시 차 예비 차량 투입 벽산 아파트 금천구청역 단축 운행,4
코로나 양천구 확 진자 발생 상세 내용 양천구 블로그 확인 바라다,0
코로나 추가 확 진자 명 발생 노량진동 년생 노량진동 년생 상세 내용 동작구 홈페이지 확인 하다 시기 바라다,5
코로나 확 진자 콜센터 근무 발생 신원동 대학동 미성동 상세 내용 관악구 홈페이지 블로그 확인 바라다,5
구로구 직장 내 집단 감염 관련 강서구 거주 확 진자 번번 발생 거주지 방역 완료 동선 파악 추후 홈페이지 공개 예정 이다,4
화 코로나 확 진자 명 발생 구로구 콜센터 집단 발생 중 인 현재 역학 조사 자세하다 사항 추후 홈페이지 공지 예정 이다,5
코로나 사회 거리 동참 해 주시 재난 구정 홍보 문자 받다 분 전화 신청 평 일시 홈페이지 연중 신청 가능,2
코로나 양천구 확 진자 발생 상세 내용 양천구 블로그 확인 바라다,0
코로나 번 문래동 거주 번 양평동 거주 구민 확 진자 발생 자세하다 사항 구청 홈페이지 확인 바라다,4
지역 거주 확 진자 발생 동지점 방역 폐쇄 조치 상세 내용 참조 코로나 정보 문자 신청 콜센터,2
현재 신도림동 콜센터 관련 명 확진 누적 명 상세 정보 구로 구청 블로그 홈페이지 확인 바라다,4
코로나 확 진자 송파 구민 신세계 강남 점 경유 통보 받다 시 폐쇄 방역 예정 정확하다 동선 확인 후 구청 홈페이지 공개 예정,4
코로나 확 진자 발생 콜센터 근무 노량진동 상세 내용 동작구 홈페이지 확인 하다 시기 바라다,5
금천구 확 진자 시흥동 여성 구로구 콜센터 직원 발생 국가 지정 병원 이송 준비 중 추후 확 진자 동선 구체 사항 홈페이지 안내,5
마스크 판매 안내 관내 약국 수 후시 판매 시작 평일 기준 일부 약국 정상 판매 다르다 수 별도 확인 필요하다,5
마스크 판매 안내 관내 약국 수 후시 판매 시작 평일 기준 단 일부 약국 정상 판매 다르다 수 별도 확인 필요하다,5
번 확 진자 발생 동대문구 휘경동 세 남다 남 형제 번 확 진자 접촉 금일 입원 조치 소독 예정 상세 동선 홈페이지 참조,4
코로나 구민 확 진자 구로구 콜센터 근무 발생 자세하다 사항 구청 홈페이지 확인 바라다,4
구로구 직장 내 집단 감염 관련 강서구 거주 확 진자 추가 번번 발생 거주지 방역 완료 동선 파악 추후 홈페이지 공개 예정 이다,4
금일 코로나 확 진자 명 응암동 역촌동 추가 발생 방역 소독 완료 이동 동선 추후 홈페이지 공개 멈추다 거리 두기 동참 부탁 하다,4
양천구 공적 마스크 판매 약국 월일 매일 시 이후 판매 양천구 블로그 참고 바라다,0
마스크 판매 안내 관내 약국 수 후시 판매 시작 평일 기준 단 일부 약국 정상 판매 다르다 수 별도 확인 필요하다,5
번 확 진자 발생 회기동 세 용두동 세 번 확 진자 타구 확 진자 접촉 입원 조치 완료 소독 예정 상세 동선 홈페이지 참조,4
관내 거주 명 추가 확 진자 발생 콜센터 직원 콜센터 가족 상세 정보 추후 홈페이지 공지 하다 예정 멈추다 캠페인 동참 바라다,0
구로구 콜센터 관련 양천구 확 진자 발생 상세 내용 양천구 블로그 확인 바라다,0
구로구 직장 내 집단 감염 확 진자 가족 격리 중 추가 확 진자 명번 발생 동선 파악 중 세부 사항 추후 홈페이지 공개 예정 이다,4
구로 콜센터 관련 마포구 확 진자 명 이동 동선 공개 마포구 블로그 홈페이지 확인 바라다,4
신도림동 콜센터 관련 번 확 진자 동선 안내 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
구로구 콜센터 관련 추가 확 진자 명 발생 자세하다 사항 노원 구청 홈페이지 참조 하다,4
수 중랑구 번 확 진자 신내동 발생 거주지 방문 방역 소독 폐쇄 조치 역학 조사 진행 중 동선 중랑구 홈페이지 공개,4
확 진자 콜센터 직원 동선 공개 자세하다 내용 홈페이지 블로그 확인 정보 공유 문자 수신 원하다 구민 관악구 홈페이지 신청 바라다,2
지역 거주 생 확 진자 발생 월화 금 의대 본관 방문 해당 지역 방역 완료 확인 바라다,4
코로나 추가 확 진자 홍은동 홍은동 발생 역학 조사 진행중 동선 추후 구청 홈페이지 공개 예정 증상 발생 시 상담 후 선 진료 소 방문 바라다,5
수 중랑구 번 확 진자 신내동 심층 역학 조사 결과 구로구 콜센터 교육 생 확인 확 진자 관내 동시 마스크 착용 밀접 접촉 없다,4
번 확 진자 발생 휘경동 세 금일 입원 조치 소독 예정 동선 홈페이지 참조 세븐 방 방문자 중 유증 상자 보건소 문의 하다 바라다,4
신도림동 콜센터 관련 번 확 진자 동선 안내 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
마포구 번 확 진자 발생 타구 확 진자 마포구 동선 공개 마포구 블로그 홈페이지 확인 바라다,5
관내 확진 환자 명 돈암 보문 추가 발생 확진 현재 역학 조사 중 동선 확인 되다 안내 해드리다,5
금일 코로나 확 진자 명대 역촌동 응암동 추가 발생 방역 소독 완료 이동 동선 추후 홈페이지 공개 멈추다 거리 두기 동참 부탁 하다,4
구청 홈페이지 수신 동의 하다 분 자소 받다 수,4
신도림동 콜센터 관련 번번 확 진자 발생 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
금천구 확 진자 가산동 구로구 콜센터 직원 역학 조사 결과 접촉 명 현재 증상 없다 자가 격리 중 방문 장소 방역 소독 완료,7
확 진자 시흥동 구로구 콜센터 직원 역학 조사 결과 접촉 가족 명 자가 격리 중 자택 방역 소독 완료,7
현재 코로나 확 진자 추가 발생 격리 방역 조치 완료 역학 조사 세부 사항 추후 홈페이지 예정 이다,5
번 확 진자 발생 장안동 세 남 금일 입원 조치 활동 동선 사업 일시 폐쇄 후 소독 예정 상세 동선 홈페이지 참조 하다 바라다,4
확 진자 구로구 콜센터 동선 공개 자세하다 내용 홈페이지 블로그 확인 코로나 멈추다 위해 멈추다 캠페인 동참 바라다,5
목 관내 마스크 판매 평일 기준 오후 시 시 판매 하다 약국 별 판매 홈페이지 확인 하다 바라다,5
마스크 이다 장 무료 공급 가족 장 통장 대별 방문 배부 못 받다 분 주민 센터 연락 줄다,2
구로구 콜센터 확 진자 마포구 세시 분분 미아사거리 인근 상가 방문 마스크 착용 하다 접촉 없다 소독 완료 하다,4
목 관내 마스크 판매 평일 기준 오후 시 시 판매 하다 약국 별 판매 홈페이지 확인 하다 바라다,5
강서구 확 진자 전원 동선 확인 되어다 자세하다 사항 블로그 홈페이지 참고 바라다,4
추가 확 진자 명 발생 수유동 남 세 역학 조사 진행중 현장 확인 후 홈페이지 공개 하다,5
신도림동 콜센터 관련 번번 확 진자 동선 안내 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
신도림동 콜센터 관련 번 확 진자 발생 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
재 발송 마스크 이다 장 무료 공급 통장 대별 방문 배부 금 마스크 배부 되다 예정 통장 방문 시 기다리다 바라다,4
코로나 타 지역 확 진자 방문 갤러리아 백화점 서관 푸드코트 폐쇄 방역 완료 푸드코트 이용자 중 유증 상자 강남구 보건소 검사 바람,4
목 중랑구 번 확 진자 발생 신내동 세 여성 번 확 진자 부인 금일 입원 조치 거주지 방역 완료 세부 동선 홈페이지 공개,4
코로나 확 진자 한남동 거주 외국인 발생 현재 역학 조사 자세하다 사항 홈페이지 블로그 공지 예정 이다,5
관내 확진 환자 명 돈암 보문 역학 조사 결과 관내 자가 주택 외 동선 없다 음 알다 드리다 자세하다 사항 홈페이지 참조 하다 시기 바라다,4
코로나 확 진자 중앙 발생 상세 정보 추후 홈페이지 공지 하다 예정 이다 코로나 종식 위해 멈추다 캠페인 동참 바라다,5
확 진자 시흥동 남 확 진자 가족 확 진자 독산동 남 관악구 소재 회사 동료 확 진자 접촉 발생 국가 지정 병원 이송 준비,5
번 확 진자 수유동 남 세 입원 조치 접촉 검사 동선 거주지 소독 완료 하다,4
코로나 확 진자 명 추가 자곡동 자택 외 관내 동선 없다 누적 명 이동 경로 방역 현황 홈피 참고,4
신도림 콜센터 관련 번 확 진자 동선 공개 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
번 확 진자 발생 휘경동 세 남장 안동 세 입원 조치 소독 예정 상세 동선 홈페이지 참조 하다 바라다,4
강북 확 진자 번 이동 경로 조치 사항 홈페이지 게시 하다,4
관내 확진 환자 인 추가 발생 종암동 확진 현재 역학 조사 중 동선 확인 되다 안내 해드리다,5
노원구 코로나 추가 확 진자 명 발생 자세하다 사항 노원 구청 홈페이지 참조 하다,4
코로나 확 진자 동선 공개 자세하다 내용 홈페이지 블로그 확인 정보 공유 문자 수신 원하다 구민 관악구 홈페이지 신청 바라다,2
코로나 확 진자 추가 발생 구로 콜센터 접촉 격리 조치 완료 역학 조사 자세하다 내용 추후 홈페이지 예정 이다,4
금 동작구 확 진자 발생 상도동 거주 동선 역학 조사 완료 후 홈페이지 안내 예정 사회 거리 두기 참여 바라다,4
코로나 확 진자 명 추가 발생 현재 역학 조사 중이 확 진자 동선 확인 후 홈페이지 공개 예정 이다,4
금일 코로나 확 진자 명 추가 발생 연남동 국적 프랑스 동선 공개 블로그 홈페이지 확인 바라다,4
확 진자 동선 공개 확 진자 발생 청룡동 자세하다 내용 홈페이지 블로그 확인 문자 수신 원하다 구민 홈페이지 신청 바라다,2
확 진자 확 진자 가족 동선 공개 자택 금천구 선 진료 소 방문 도보 후 자택 귀가 도보 홈페이지 참조,0
확 진자 독산동 동선 공개 자택 용인시 방문자 차 외부 활동 독산동 금천구 선 진료 소 검사 홈페이지 참조,6
코로나 노원구 번 확 진자 대한 역학 조사 결과 도봉구 이동 경로 대응조치 사항 도봉 구청 홈페이지 공지 하다 참고 바라다,4
관내 종암동 확진 환자 성북구 번 역학 조사 결과 이동 경로 조치 사항 홈페이지 게시 하다,4
번 확 진자 발생 휘경동 아들 세 세 세븐 방 이용자 입원 조치 소독 예정 상세 동선 홈페이지 참조 하다 바라다,4
번 확 진자 발생 휘경동 세 남 세븐 방 이용자 입원 조치 소독 예정 상세 동선 홈페이지 참조 하다 바라다,4
금일 코로나 확 진자 명 추가 발생 번 확 진자 친구 이동 경로 홈페이지 블로그 게재,4
기간 중 휘경동 세븐 방 코로나 확 진자 명 발생 이용자 중 증상 분 보건소 인근 병원 선 진료 소 방문 요망,6
증상 없다 주간 마스크 착용 외출 자제 자가 격리 적극 실천 요망 위생 칙 자다 지키다 코로나 사랑 하다 가족 이웃 지키다 길 이다,7
신도림동 콜센터 관련 번번 확 진자 동선 안내 상세 정보 구로 구청 블로그 홈페이지 참고 바라다,4
토 오전 추가 확 진자 명 발생 창동 소재 강남 퀸즈 산후조리원 근무 역학 조사 진행중 추가 확인 후 홈페이지 공개 예정 이다,5
토 번 확 진자 발생 중화동 세 가족 남편 음성 판정 금일 입원 조치 거주지 방역 완료 세부 동선 중랑구 홈페이지 공개,4
번 확 진자 동대문구 방 집단 감염 확 진자 밀접 접촉 자임 사회 거리 두기 다중 밀집 장소 이용 자제,4
관내 번남 세 가리봉동 번 세 오류동 확 진자 발생 이동 동선 상세 정보 역학 조사 종료 후 공개 예정 참고 바라다,4
코로나 구민 확 진자 발생 일요일 공적 마스크 판매 약국 안내 구청 홈페이지 확인 바라다,4
코로나 추가 확 진자 명 정보공개 방역 폐쇄 누적 명 경로 방역 현황 구청 홈페이지 참고,4
코로나 확산 방지 위해 예배 법회 종교 행사 집회 모임 자제 하다 주시 사회 거리 두기 예방 칙 지키다 바라다,4
코로나 도봉구 확 진자 대한 역학 조사 결과 도봉구 이동 경로 대응조치 사항 도봉 구청 홈페이지 공지 하다 참고 바라다,4
코로나 도봉구 번 확 진자 노원구 이동 경로 조치 사항 노원 구청 홈페이지 사항 공개 하다,4
구로구 번 번 확 진자 동선 공개 자세하다 정보 구로 구청 블로그 홈페이지 참고 바라다,4
확 진자 지역 거주 확 진자 역학 조사 결과 공지 하다 코로나 종식 위해 멈추다 캠페인 동참 바라다,4
